"DashDAQ Log File"

"Format:","Simple CSV 1.0.0"
"Filename:","/mmc/logs/log0001.csv"
"Started:","Thu Dec  4 18:19:20 2025"

"Signal","Driver","ID","Name","Units","Description","Color"
0,"a-GenericOBD2","a:10","Speed","kph","Vehicle Speed","#CD0000"
1,"a-GenericOBD2","a:9","RPM","RPM","Engine RPM","#CD0000"
2,"a-GenericOBD2","a:2","ECT","°C","Engine Coolant Temperature","#CD0000"
3,"a-GenericOBD2","a:12","IAT","°C","Intake Air Temperature","#CD0000"
4,"a-GenericOBD2","a:8","MAP","kpa","Intake Manifold Absolute Pressure","#CD0000"
5,"d-zt2","d:1","AFR","","Air/Fuel Ratio","#FFFFFF"

"Time","Speed","RPM","ECT","IAT","MAP","AFR",
"ms","kph","RPM","°C","°C","kpa","",
-5956,0,651.500000,86,55,99.0,
-5927,0,653.500000,86,55,99.0,
-5906,0,655.500000,86,55,100.0,
-5867,0,655.500000,86,55,99.0,
-5840,0,654.250000,86,55,99.0,
-5809,0,646.250000,86,55,99.0,
-5786,0,646.250000,86,55,99.0,
-5756,0,643.750000,86,55,100.0,
-5726,0,643.750000,86,55,100.0,
-5706,0,643.000000,86,55,100.0,
-5669,0,645.000000,86,55,100.0,
-5639,0,645.000000,86,55,99.0,
-5610,0,643.750000,86,55,100.0,
-5586,0,645.000000,86,55,100.0,
-5557,0,645.000000,86,55,99.0,
-5556,0,645.000000,86,55,99.0,
-5526,0,646.500000,86,55,100.0,
-5506,0,646.500000,86,55,99.0,
-5470,0,653.250000,86,55,100.0,
-5437,0,655.000000,86,55,99.0,
-5416,0,655.000000,86,55,99.0,
-5387,0,657.250000,86,55,99.0,
-5386,0,657.250000,86,55,99.0,
-5356,0,656.750000,86,55,99.0,
-5326,0,656.750000,86,55,99.0,
-5305,0,656.250000,86,55,100.0,
-5267,0,656.250000,86,55,99.0,
-5266,0,656.250000,86,55,99.0,
-5240,0,653.750000,86,55,100.0,
-5207,0,656.000000,86,55,100.0,
-5187,0,656.000000,86,55,99.0,
-5186,0,656.000000,86,55,99.0,
-5157,0,656.250000,86,55,99.0,
-5156,0,656.250000,86,55,99.0,
-5126,0,654.000000,86,55,100.0,
-5096,0,654.000000,86,55,99.0,
-5070,0,647.250000,86,55,100.0,
-5037,0,647.250000,86,55,99.0,
-5036,0,647.250000,86,55,99.0,
-5015,0,644.500000,86,55,99.0,
-4987,0,644.500000,86,55,100.0,
-4986,0,644.000000,86,55,100.0,
-4956,0,644.000000,86,55,99.0,
-4926,0,644.500000,86,55,100.0,
-4896,0,644.500000,86,55,100.0,
-4866,0,643.000000,86,55,99.0,
-4837,0,644.000000,86,55,100.0,
-4816,0,644.000000,86,55,99.0,
-4786,0,646.750000,86,55,100.0,
-4756,0,646.750000,86,55,99.0,
-4736,0,654.500000,86,55,99.0,
-4699,0,655.750000,86,55,99.0,
-4669,0,655.750000,86,55,99.0,
-4645,0,655.250000,86,55,99.0,
-4617,0,655.250000,86,55,99.0,
-4616,0,654.250000,86,55,99.0,
-4586,0,654.250000,86,55,99.0,
-4556,0,653.000000,86,55,100.0,
-4536,0,653.000000,86,55,100.0,
-4505,0,652.250000,86,55,100.0,
-4486,0,652.250000,86,55,100.0,
-4456,0,653.750000,86,55,100.0,
-4436,0,651.250000,86,55,100.0,
-4399,0,651.250000,86,55,99.0,
-4366,0,645.000000,86,55,99.0,
-4336,0,641.250000,86,55,100.0,
-4297,0,641.250000,86,55,99.0,
-4269,0,641.500000,86,55,99.0,
-4239,0,641.500000,86,55,100.0,
-4216,0,641.500000,86,55,99.0,
-4187,0,641.500000,86,55,100.0,
-4186,0,639.000000,86,55,100.0,
-4156,0,639.000000,86,55,99.0,
-4126,0,639.500000,86,55,99.0,
-4096,0,643.750000,86,55,100.0,
-4066,0,643.750000,86,55,100.0,
-4046,0,648.750000,86,55,100.0,
-4016,0,648.750000,86,55,100.0,
-3996,0,655.250000,86,55,100.0,
-3969,0,655.250000,86,55,100.0,
-3945,0,655.750000,86,55,100.0,
-3916,0,657.750000,86,55,100.0,
-3886,0,657.750000,86,55,99.0,
-3857,0,657.750000,86,55,99.0,
-3856,0,657.750000,86,55,99.0,
-3835,0,657.750000,86,55,99.0,
-3805,0,657.000000,86,55,99.0,
-3768,0,654.500000,86,55,100.0,
-3737,0,654.500000,86,55,100.0,
-3716,0,655.250000,86,55,99.0,
-3687,0,655.250000,86,55,100.0,
-3686,0,653.000000,86,55,100.0,
-3656,0,653.000000,86,55,99.0,
-3626,0,648.500000,86,55,100.0,
-3597,0,644.250000,86,55,100.0,
-3569,0,644.250000,86,55,99.0,
-3540,0,643.250000,86,55,100.0,
-3515,0,643.250000,86,55,99.0,
-3486,0,642.500000,86,55,99.0,
-3446,0,643.750000,86,55,100.0,
-3417,0,643.750000,86,55,99.0,
-3416,0,643.750000,86,55,99.0,
-3386,0,642.250000,86,55,99.0,
-3346,0,645.250000,86,55,100.0,
-3316,0,652.750000,86,55,99.0,
-3286,0,652.750000,86,55,100.0,
-3256,0,659.000000,86,55,100.0,
-3226,0,656.750000,86,55,100.0,
-3196,0,656.750000,86,55,99.0,
-3166,0,654.000000,86,55,100.0,
-3127,0,653.250000,86,55,100.0,
-3099,0,653.250000,86,55,99.0,
-3077,0,653.250000,86,55,99.0,
-3076,0,654.000000,86,55,99.0,
-3046,0,654.250000,86,55,100.0,
